% Model,一维阵列侧向.mph
% Version,COMSOL 6.2.0.290
% Date,"May 24 2025, 21:37"
% Table,探针表 1 - 
% 时间 (ms),"总声压 (Pa), 阵列3","总声压 (Pa), 阵列1","总声压 (Pa), 阵列2","总声压 (Pa), 阵列4","总声压 (Pa), 阵列5","总声压 (Pa), 阵列6","总声压 (Pa), 阵列7","总声压 (Pa), 阵列8","总声压 (Pa), 阵列9"
0,4.804162846845214E-84,2.049408935445682E-83,5.33057113861293E-84,1.3339648977894873E-84,4.4725299050384545E-85,2.4879502890725705E-85,8.341829689719373E-86,6.0567468021205256E-86,4.7706873560213435E-86
0.016666666666666666,8.120995806779341E-72,5.673796917245684E-71,1.0264309661514537E-71,1.9816677339002551E-72,5.1331489693220066E-73,2.7270687863122296E-73,9.001067407781964E-74,6.133584347504148E-74,6.0663694486491425E-74
0.03333333333333333,-2.6472721276376237E-70,-1.7458393198991848E-69,-3.29155170869503E-70,-6.536500066461519E-71,-1.7477664416597952E-71,-9.349818499004234E-72,-3.0941205384505144E-72,-2.1238196560206682E-72,-2.0526199350222787E-72
0.05,3.754351253631867E-69,2.3142155396575135E-68,4.581591970500167E-69,9.404562253104151E-70,2.6070432943560523E-70,1.4051271807916111E-70,4.663114682351721E-71,3.2272451335276578E-71,3.0368098254209307E-71
0.06666666666666667,-2.935742966727177E-68,-1.6594360149421704E-67,-3.5005498296036396E-68,-7.496641732799547E-69,-2.1720783965900584E-69,-1.1808165687836617E-69,-3.931335948826679E-70,-2.748264007537747E-70,-2.500691745457362E-70
0.08333333333333334,1.2681007765275129E-67,6.241413746692306E-67,1.4602208269722417E-67,3.340785498818631E-68,1.0319576585432865E-68,5.674638082794529E-69,1.897250503825756E-69,1.3454204726029553E-69,1.1646810342667368E-69
0.10000000000000002,-1.9839240520148194E-67,-5.421848126642268E-67,-2.035420535341998E-67,-5.794715092201866E-68,-2.119613456592763E-68,-1.195712974882447E-68,-4.0343689433607576E-69,-2.9601334488663027E-69,-2.2532195307520682E-69
0.1166666666666667,-7.520611715042944E-67,-5.143790810442135E-66,-9.508001617183828E-67,-1.7547822426399674E-67,-4.16833800567807E-68,-2.1830217825459828E-68,-7.167301733684391E-69,-4.670924981751727E-69,-5.350442299772267E-69
0.13333333333333336,3.97612795486992E-66,1.760016947830412E-65,4.4719591986092487E-66,1.0582996198577325E-66,3.360981999320043E-67,1.8593786111844442E-67,6.230851658409003E-68,4.431118636222433E-68,3.80911984712515E-68
0.15000000000000005,-1.3224757587867858E-66,1.2740035675181676E-65,-3.9478664158203325E-67,-6.321132610064312E-67,-3.567079377228272E-67,-2.1075620779894557E-67,-7.223512757351213E-68,-5.632152131514733E-68,-3.283091062144275E-68
0.1666666666666667,-3.031393891202138E-65,-1.5579593500181285E-64,-3.540583442774473E-65,-7.631415378088913E-66,-2.2005501864111382E-66,-1.2002244093520973E-66,-4.001731036766657E-67,-2.7646518075894378E-67,-2.639861239122487E-67
0.18333333333333338,4.449040904944127E-65,5.831080268277447E-65,4.185946636038211E-65,1.3859348067321728E-65,5.555970951726124E-66,3.1769773369488353E-66,1.0770023226903522E-66,8.014842572601348E-67,5.787446753279411E-67
0.20000000000000007,1.7516033901330262E-64,1.0166108963024278E-63,2.118284004924493E-64,4.136591329465908E-65,1.048251554022742E-65,5.596421082410087E-66,1.8516860782887347E-66,1.2179274783677661E-66,1.3672259591563244E-66
0.21666666666666673,-3.8870118935773586E-64,-7.909189101259392E-64,-3.822231840380359E-64,-1.1591728983638075E-64,-4.429997832006332E-65,-2.5219334905722544E-65,-8.536274647085884E-66,-6.288098253788728E-66,-4.748284560282156E-66
0.23333333333333342,-9.571730629423954E-64,-5.959275180843231E-63,-1.1839124487570898E-63,-2.1341527195046608E-64,-4.722483647676821E-65,-2.4581910395598157E-65,-8.060510268717953E-66,-4.941455588308154E-66,-6.809041723245726E-66
0.25000000000000006,2.4201617888405046E-63,4.633603813193955E-63,2.3605303474252366E-63,7.221157258805228E-64,2.7796948949966936E-64,1.586162226184917E-64,5.3729294531814066E-65,3.957092568293107E-65,2.998723402823233E-65
0.2666666666666667,5.450813225370574E-63,3.3217753319475527E-62,6.709827061241419E-63,1.1923475092355403E-63,2.5451442378790152E-64,1.3190310781143584E-64,4.321799293716516E-65,2.5679146376203036E-65,3.852905343131598E-65
0.2833333333333334,-1.2099025405325748E-62,-1.5120729129249729E-62,-1.1296143048996595E-62,-3.7370741023104894E-63,-1.5093113712139895E-63,-8.67340723960423E-64,-2.9446326002891398E-64,-2.186211012025144E-64,-1.607103132304473E-64
0.3000000000000001,-3.189748589366397E-62,-1.7356989892776354E-61,-3.8038512737939954E-62,-7.165159143697364E-63,-1.6842625316627344E-63,-8.945322026221539E-64,-2.9599281972967592E-64,-1.8372791487836582E-64,-2.4624338082494748E-64
0.31666666666666676,4.733345050135575E-62,-1.3711634065298405E-62,3.959734215825778E-62,1.6010974218837282E-62,7.14425219208986E-63,4.154127519944055E-63,1.415354934162527E-63,1.0695120630239718E-63,7.308021323627722E-64
0.3333333333333334,1.786491038139243E-61,8.095355112104557E-61,2.0312006737492388E-61,4.231146596296451E-62,1.1502298025037146E-62,6.293787683847382E-63,2.1053905426167521E-63,1.3856440084611514E-63,1.5711054923601322E-63
0.3500000000000001,-1.1413513934550062E-61,6.158682081481413E-61,-5.857703751585883E-62,-5.107501910040525E-62,-2.804318862077139E-62,-1.661686101019953E-62,-5.691003970395173E-63,-4.4442746793340396E-63,-2.6086381244475766E-63
0.36666666666666675,-8.922231962779303E-61,-3.12620481873938E-60,-9.570991000666895E-61,-2.2592446921744483E-61,-7.10100212671751E-62,-3.982761595743332E-62,-1.343515190670993E-62,-9.268838063564495E-63,-9.046659223737097E-63
0.38333333333333347,-1.7068870198606275E-61,-5.255355526061697E-60,-4.78742222338805E-61,6.285381429292412E-62,7.7302839307451205E-62,4.7691408081984085E-62,1.6491758540281419E-62,1.3891508419577905E-62,5.197784746446029E-63
0.40000000000000013,3.7156775215526615E-60,8.483418958122843E-60,3.696076388565255E-60,1.0255095539402657E-60,3.7289934906012774E-61,2.1352488502913503E-61,7.249036649287842E-62,5.201411257721413E-62,4.420706679841008E-62
0.4166666666666668,4.013721431195591E-60,2.968781681535978E-59,5.305725738969852E-60,6.0940091520199185E-61,-2.2250639276667234E-62,-2.7948931724488625E-62,-1.070792970237918E-62,-1.7203419424428546E-62,1.5896011345388536E-62
0.43333333333333346,-1.1542086352385299E-59,-4.351901234248838E-60,-1.0053436577518318E-59,-3.670184229905837E-60,-1.5896679626968442E-60,-9.285927043484005E-61,-3.169253267777411E-61,-2.3666590577350917E-61,-1.7188137532039238E-61
0.4500000000000001,-2.766734299211614E-59,-1.2149086286607294E-58,-3.1248907870643826E-59,-5.981406556233418E-60,-1.4111194956157556E-60,-7.655121252016421E-61,-2.5742014963999143E-61,-1.5227933150958565E-61,-2.3390445561764988E-61
0.46666666666666684,1.6834609689923975E-59,-1.163843687351185E-58,6.655618029570902E-60,8.455212584272516E-60,5.010119485590934E-60,3.00149855696144E-60,1.0296400532665041E-60,8.133579613206678E-61,4.5491504424184264E-61
0.4833333333333335,1.255322487532328E-58,3.274685611293859E-58,1.2718191604733902E-58,3.204326706899102E-59,1.0795833033143112E-59,6.180171788697198E-60,2.1052723790135907E-60,1.4570804452715584E-60,1.4163464001546105E-60
0.5000000000000001,7.719311027931536E-59,8.174843548834202E-58,1.1850954768908874E-58,2.9214017102919865E-60,-7.760140433697128E-60,-4.992492131144967E-60,-1.7276097811077855E-60,-1.608840050888955E-60,-1.9073927095678906E-61
0.5166666666666668,-3.795054637827428E-58,-2.0546637864150915E-58,-3.324331915297368E-58,-1.1619415903066806E-58,-4.987939831468861E-59,-2.9316785552937613E-59,-1.0039544320740505E-59,-7.426776863379888E-60,-5.637019600881114E-60
0.5333333333333334,-7.383516228547399E-58,-3.190498637225198E-57,-8.300992268721131E-58,-1.462273010215486E-58,-2.8725129524862246E-59,-1.5316752936598876E-59,-5.210103168296352E-60,-2.5464413110970686E-60,-6.000139378839251E-60
0.5500000000000002,4.633727919508401E-58,-3.342345217239764E-57,1.6657710347527718E-58,2.4354297080663434E-58,1.49648798073382E-58,9.030078977990835E-59,3.1013055447708497E-59,2.4620461545039296E-59,1.349297983422508E-59
0.5666666666666668,3.212489092791963E-57,6.739472421433916E-57,3.134362721000744E-57,8.184133533011861E-58,2.876423640476176E-58,1.670236961902731E-58,5.736691672732271E-59,3.9643383286294505E-59,3.8812642490297972E-59
0.5833333333333335,2.5196324983625207E-57,2.0423376793839725E-56,3.466813883688958E-57,1.7913405651315776E-58,-1.7390649303169876E-58,-1.1386716407212731E-58,-3.9035206243744693E-59,-3.8926411950735506E-59,1.5858072736492905E-60
0.6000000000000002,-7.782934509862586E-57,4.9300542636066836E-57,-6.153155361694494E-57,-2.587851347067409E-57,-1.2366960934482844E-57,-7.383015749361694E-58,-2.54102347392354E-58,-1.9133515110119484E-58,-1.3508167231798607E-58
0.6166666666666668,-1.9032611155012698E-56,-6.124697417428315E-56,-1.994498694546272E-56,-4.0011990940448547E-57,-1.015950654385268E-57,-5.739891687162956E-58,-1.991782472026478E-58,-1.153589508896997E-58,-1.867869411889943E-58
0.6333333333333335,1.687142546218222E-58,-1.0209578164782574E-55,-6.752056284171359E-57,3.3247918623783564E-57,2.8825272964573E-57,1.7736124012863523E-57,6.0899233724807896E-58,5.076544297723844E-58,2.0915532443016894E-58
0.6500000000000001,6.33992085404472E-56,5.349276972828219E-56,5.6127462881539885E-56,1.77371795766634E-56,7.352918785782245E-57,4.372141686670926E-57,1.5133072287448272E-57,1.0878303250903177E-57,9.246189586298125E-58
0.6666666666666669,8.881548117874846E-56,4.045279629694132E-55,1.0089313071699139E-55,1.360546689800332E-56,5.228075269024821E-58,1.0961314697017332E-58,5.878212767036258E-59,-2.0220214578886128E-58,6.047911044622592E-58
0.6833333333333336,-7.830433266197138E-56,4.2196268254462225E-55,-3.5798808486289338E-56,-3.813619869849307E-56,-2.353230312098408E-56,-1.4346540932669997E-56,-4.9474145462271346E-57,-3.911276351574593E-57,-2.1943005091380042E-57
0.7000000000000002,-3.976414870413466E-55,-6.4230243048483456E-55,-3.711239219111163E-55,-9.7394938895459E-56,-3.5157316589648685E-56,-2.084819700450491E-56,-7.289548643287158E-57,-4.928752411460845E-57,-5.16654605908766E-57
0.7166666666666669,-3.3540035271218676E-55,-2.267784778293627E-54,-4.309731501150014E-55,-1.9773115900713965E-56,2.523304187848457E-56,1.6318307879833337E-56,5.474465010903464E-57,5.592183266699307E-57,-5.0503669700346096E-58
0.7333333333333335,7.466940165863177E-55,-1.4628456669036752E-54,5.1083517338532405E-55,2.744466348253124E-55,1.4889859689640884E-55,9.071522886539997E-56,3.1472912257203723E-56,2.40805384323505E-56,1.5775253622806897E-56
0.7500000000000002,2.15813171898265E-54,4.6379125854734787E-54,2.0834643028964914E-54,4.639921404272759E-55,1.4005682251787155E-55,8.271727190441897E-56,2.9457647943538835E-56,1.794518113790187E-56,2.5358151657993704E-56
0.7666666666666669,9.819250094699062E-55,1.153967083713533E-53,1.599441661335924E-54,-1.4748056758347619E-55,-2.559430604690557E-55,-1.60650366990893E-55,-5.465282576266124E-56,-4.897045927916836E-56,-1.0806391553374518E-56
0.7833333333333335,-5.043636948730908E-54,4.1783105118539045E-54,-3.8096186333025867E-54,-1.620113961179356E-54,-8.184106147313311E-55,-5.0005422716190905E-55,-1.7483269124694102E-55,-1.3029131322504791E-55,-9.52318715078799E-56
0.8000000000000003,-1.0734220057416376E-53,-2.7385376072600464E-53,-1.0610188012613104E-53,-2.0103272488673956E-54,-4.6190009139884515E-55,-2.703299291184584E-55,-9.995654778625993E-56,-4.829592552737637E-56,-1.1462420098127966E-55
0.8166666666666669,-1.7072725191030647E-54,-5.547181765565074E-53,-5.255539462262959E-54,1.7220698201969881E-54,1.7710820925365695E-54,1.1058951968339689E-54,3.790285793523807E-55,3.240318347454834E-55,1.1007617185963594E-55
0.8333333333333336,2.895731016199139E-53,-9.302025807222364E-54,2.2695453689268547E-53,8.536095828653716E-54,4.1292588527040396E-54,2.5361667089906104E-54,8.949356019747422E-55,6.518073843306444E-55,5.191017929841428E-55
